,states,literacy-group-males,ratio-males,literacy-group-females,ratio-females
0,INDIA,Illiterate,0.8604560053790361,Illiterate,0.9773126601765024
1,JAMMU & KASHMIR,Illiterate,0.7961886219265982,Illiterate,0.934550388983105
2,HIMACHAL PRADESH,Illiterate,0.9224430022364432,Illiterate,0.9935376872404921
3,PUNJAB,Illiterate,0.9136427123794044,Illiterate,0.9574121956831579
4,CHANDIGARH,Illiterate,0.867434983567037,Illiterate,0.9626192509001819
5,UTTARAKHAND,Illiterate,0.8842774897670056,Illiterate,0.9961206954580241
6,HARYANA,Illiterate,0.9348898455332512,Illiterate,0.9941781227984363
7,NCT OF DELHI,Illiterate,0.901004758796521,Illiterate,0.9906449206804789
8,RAJASTHAN,Illiterate,0.9467453341746339,Illiterate,0.9973329451505304
9,UTTAR PRADESH,Illiterate,0.953906502056832,Illiterate,0.9971373769454236
10,BIHAR,Illiterate,0.8785960418231317,Illiterate,0.9905038813625625
11,SIKKIM,Illiterate,0.5896993078090834,Illiterate,0.8963165075034106
12,ARUNACHAL PRADESH,Illiterate,0.45496708557749854,Illiterate,0.7723799603116871
13,NAGALAND,Illiterate,0.6978768972902505,Illiterate,0.8850663136300749
14,MANIPUR,Illiterate,0.7357120643646797,Illiterate,0.9076341165533458
15,MIZORAM,Illiterate,0.9097166338498416,Illiterate,0.981795630043639
16,TRIPURA,Illiterate,0.7314420372808017,Illiterate,0.979797511524267
17,MEGHALAYA,Illiterate,0.8991907646469522,Illiterate,0.9505506423747083
18,ASSAM,Illiterate,0.6054551609032838,Illiterate,0.91494225073778
19,WEST BENGAL,Literate but below primary,0.9124817702947509,Illiterate,0.9890873429933346
20,JHARKHAND,Illiterate,0.7327843068780759,Illiterate,0.9635023011937969
21,ODISHA,Literate but below primary,0.8017295803656809,Illiterate,0.9596310003284603
22,CHHATTISGARH,Literate but below primary,0.8813003878156004,Illiterate,0.9854679123439768
23,MADHYA PRADESH,Illiterate,0.9087442508742176,Illiterate,0.9956456066567684
24,GUJARAT,Illiterate,0.8811388472138384,Illiterate,0.974470577841185
25,DAMAN & DIU,Illiterate,0.863629277418349,Illiterate,0.966007607168557
26,DADRA & NAGAR HAVELI,Illiterate,0.4563906399422315,Illiterate,0.8386915077989602
27,MAHARASHTRA,Illiterate,0.7243188387761339,Illiterate,0.9262746493874173
28,ANDHRA PRADESH,Illiterate,0.8344916458099954,Illiterate,0.977237563400281
29,KARNATAKA,Illiterate,0.6749207217717841,Illiterate,0.9327323441638548
30,GOA,Illiterate,0.5421555827663664,Illiterate,0.7561461285134411
31,LAKSHADWEEP,Illiterate,0.9737254901960785,Illiterate,0.9825513196480938
32,KERALA,Illiterate,0.9612875558286319,Illiterate,0.9879005118518398
33,TAMIL NADU,Illiterate,0.8493082542676219,Illiterate,0.9872022190561298
34,PUDUCHERRY,Illiterate,0.9591602755074566,Illiterate,0.9940174689905475
35,ANDAMAN & NICOBAR ISLANDS,Illiterate,0.6246428014755546,Illiterate,0.9540015897586077
