,states,literacy-group,percentage
0,INDIA,Graduate and above,32.43062924465504
1,JAMMU & KASHMIR,Graduate and above,67.38547855189334
2,HIMACHAL PRADESH,Matric/Secondary but below graduate,15.792151929482081
3,PUNJAB,Matric/Secondary but below graduate,96.49383846112136
4,CHANDIGARH,Matric/Secondary but below graduate,83.59984810767477
5,UTTARAKHAND,Graduate and above,7.242982440722057
6,HARYANA,Graduate and above,18.039673216716345
7,NCT OF DELHI,Graduate and above,23.913752917133817
8,RAJASTHAN,Matric/Secondary but below graduate,8.228845480170536
9,UTTAR PRADESH,Graduate and above,6.647457347589748
10,BIHAR,Graduate and above,8.557371844702052
11,SIKKIM,Matric/Secondary but below graduate,104.66508973492527
12,ARUNACHAL PRADESH,Matric/Secondary but below graduate,100.63035204567079
13,NAGALAND,Matric/Secondary but below graduate,93.84397581477658
14,MANIPUR,Matric/Secondary but below graduate,68.69412748019478
15,MIZORAM,Graduate and above,24.91686987364221
16,TRIPURA,Graduate and above,33.81345601253882
17,MEGHALAYA,Matric/Secondary but below graduate,55.71306298145105
18,ASSAM,Matric/Secondary but below graduate,97.5876417747308
19,WEST BENGAL,Graduate and above,24.468926639100033
20,JHARKHAND,Graduate and above,20.087062101940795
21,ODISHA,Matric/Secondary but below graduate,68.91480734951536
22,CHHATTISGARH,Graduate and above,10.915313592834295
23,MADHYA PRADESH,Graduate and above,11.190417531080097
24,GUJARAT,Graduate and above,68.8330259552297
25,DAMAN & DIU,Graduate and above,54.842993282299645
26,DADRA & NAGAR HAVELI,Matric/Secondary but below graduate,56.447233980440814
27,MAHARASHTRA,Graduate and above,64.79881367011144
28,ANDHRA PRADESH,Graduate and above,37.07331049468147
29,KARNATAKA,Matric/Secondary but below graduate,57.192487732682565
30,GOA,Matric/Secondary but below graduate,159.29775917314893
31,LAKSHADWEEP,Matric/Secondary but below graduate,84.3982683982684
32,KERALA,Matric/Secondary but below graduate,39.004679953140766
33,TAMIL NADU,Graduate and above,14.992793723118462
34,PUDUCHERRY,Graduate and above,21.216089671827586
35,ANDAMAN & NICOBAR ISLANDS,Matric/Secondary but below graduate,68.10260730755587
