,states,urban-percentage,rural-percentage,p-value
0,INDIA,26.974288471183012,15.263288902255665,0.0
1,JAMMU & KASHMIR,34.32487427335445,31.933408431652843,0.0
2,HIMACHAL PRADESH,28.279345641287808,11.345455428631569,0.0
3,PUNJAB,22.62686762932264,16.445332247244497,0.0
4,CHANDIGARH,24.411203954566137,25.421682591148976,7.867753682658418e-05
5,UTTARAKHAND,26.40946985870376,10.865780847792951,0.0
6,HARYANA,25.58458095319632,13.292914643142717,0.0
7,NCT OF DELHI,32.78010329222509,22.250514268259504,0.0
8,RAJASTHAN,16.593746453047366,7.063095413406106,0.0
9,UTTAR PRADESH,23.908036718590555,6.213120088287924,0.0
10,BIHAR,20.51053511068534,13.718197971276947,0.0
11,SIKKIM,33.561447603172326,34.147558309755595,2.7301400350198534e-05
12,ARUNACHAL PRADESH,31.901036333101217,34.336498624289405,4.61512525825916e-143
13,NAGALAND,33.78204656669574,35.47745848063567,1.2149478321229065e-113
14,MANIPUR,22.77840782397495,28.77836805761659,0.0
15,MIZORAM,26.521981702464796,20.000951592490033,0.0
16,TRIPURA,19.00831345890023,32.71077514761486,0.0
17,MEGHALAYA,33.08321437568226,14.775627793925967,0.0
18,ASSAM,29.455419545840417,32.8737785761752,0.0
19,WEST BENGAL,20.074693563764924,10.138623970144435,0.0
20,JHARKHAND,29.642177212553893,24.17134845306577,0.0
21,ODISHA,23.265248892863955,19.07412297234457,0.0
22,CHHATTISGARH,17.925610852320702,9.67651863444649,0.0
23,MADHYA PRADESH,18.855127992085468,9.069353958197784,0.0
24,GUJARAT,34.5880337616313,24.26040310758366,0.0
25,DAMAN & DIU,33.38073075892393,34.753957215709654,6.049067414890024e-10
26,DADRA & NAGAR HAVELI,35.36411469846508,38.59562895245585,2.8653123661656935e-85
27,MAHARASHTRA,38.1544731786266,29.738239966376025,0.0
28,ANDHRA PRADESH,23.877600523759195,15.082795051150159,0.0
29,KARNATAKA,32.70216044536091,23.20368109015012,0.0
30,GOA,25.787206637744898,27.379465717895137,2.2897024528994133e-99
31,LAKSHADWEEP,14.050703329889533,10.607453503995474,1.6457913460668894e-26
32,KERALA,15.823393218142337,14.041033968314022,0.0
33,TAMIL NADU,29.920174560334324,20.203682071169734,0.0
34,PUDUCHERRY,28.692364612027166,19.21862348178138,0.0
35,ANDAMAN & NICOBAR ISLANDS,48.960888715432645,48.27810184189327,4.41606855046639e-05
